-url,Company Name,logo,Business classification,Address,Phone,Website and Social,opening_hours,Products & services,Details & description
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/Budget-Truck-Rental/4208640.html?what=a&where=Nanaimo+BC,Budget Truck Rental,,service_companies,"6450 N Island Highway North, Nanaimo, BC V9T 1X2
",250-760-7368,,"Monday

8:00 am - 5:30 pm



Tuesday

8:00 am - 5:30 pm



Wednesday

8:00 am - 5:30 pm



Thursday

8:00 am - 5:30 pm



Friday

8:00 am - 5:30 pm



Saturday

8:00 am - 5:30 pm



Sunday

9:00 am - 5:00 pm","Loading Help,
Packing Help,
Unloading Help,","One of the leading truck rental companies, Budget Truck Rental in Nanaimo provides discount truck rentals, cargo vans, trailers and pick-up trucks. Take advantage of truck rental savings for your consumer and light commercial needs in Nanaimo."
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/Budget-Truck-Rental/103119953.html?what=a&where=Nanaimo+BC,Budget Truck Rental,,service_companies,"90 Front Street, Nanaimo, BC V9R 5H7
",250-374-7368,,"Monday

8:00 am - 5:30 pm



Tuesday

8:00 am - 5:30 pm



Wednesday

8:00 am - 5:30 pm



Thursday

8:00 am - 5:30 pm



Friday

8:00 am - 5:30 pm



Saturday

8:00 am - 5:30 pm



Sunday

9:00 am - 5:00 pm","Loading Help,
Packing Help,
Unloading Help,","One of the leading truck rental companies, Budget Truck Rental in Nanaimo provides discount truck rentals, cargo vans, trailers and pick-up trucks. Take advantage of truck rental savings for your consumer and light commercial needs in Nanaimo."
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/A-J-Forsyth/3452224.html?what=a&where=Nanaimo+BC,A J Forsyth A Division Of Russel Metals Inc,,professional,"1950 East Wellington Rd, Nanaimo, BC V9S 5X6
","250-753-1555
1-800-663-7381Tollfree
250-753-5443",,"Monday

7:30 am - 4:00 pm



Tuesday

7:30 am - 4:00 pm



Wednesday

7:30 am - 4:00 pm



Thursday

7:30 am - 4:00 pm



Friday

7:30 am - 4:00 pm



Appointments Available: Saturday.","Steel Distributors,
Wholesale & Supply Store,",
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/A-W-Restaurant/2065278.html?what=a&where=Nanaimo+BC,A & W Restaurant Woodgrove Centre,,restaurant,"F9-6631 Island Hwy N, Nanaimo, BC V9T 4T7
",250-390-3611,,"Monday

11:00 am - 11:00 pm



Tuesday

11:00 am - 11:00 pm



Wednesday

11:00 am - 11:00 pm



Thursday

11:00 am - 11:00 pm



Friday

11:00 am - 11:00 pm



Saturday

11:00 am - 11:00 pm



Sunday

11:00 am - 11:00 pm",,A&W Restaurant welcomes you to their establishment. You can get there by car. The neighboring area is notable for its parks.
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/Blenz-Coffee/3732113.html?what=a&where=Nanaimo+BC,Blenz Coffee Woodgrove Centre,,restaurant,"6631 Island Hwy N, Nanaimo, BC V9T 4T7
",250-390-0355,www.blenz.com,"Monday

9:00 am - 5:00 pm



Tuesday

9:00 am - 5:00 pm



Wednesday

9:00 am - 5:00 pm



Thursday

9:00 am - 5:00 pm



Friday

9:00 am - 5:00 pm","Coffee Shop,",
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/BCAA/7962662.html?what=a&where=Nanaimo+BC,BCAA Vancouver Island,,service_companies,"6581 Aulds Rd, Unit 400, Nanaimo, BC V9T 6J6
",250-390-7700,,"Monday

9:00 am - 5:00 pm



Tuesday

9:00 am - 5:00 pm



Wednesday

9:00 am - 5:00 pm



Thursday

9:00 am - 5:00 pm



Friday

9:00 am - 5:00 pm



Saturday

9:00 am - 5:00 pm","Home Insurance,
Tenant Insurance,
Renters Insurance,
Auto Insurance,
Car Insurance,
Travel Insurance,


Travel Medical Insurance,
Health Insurance,
Dental Insurance,
Roadside Assistance,
Book Flights,



","Bcaa is one of the most trusted organizations in British Columbia. Bcaa provides an array of award-winning home, auto and travel insurance products and services, and roadside assistance."
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/Budget-Car-Rental/2142853.html?what=a&where=Nanaimo+BC,Budget Car Rental,,service_companies,"90 Front Street, Nanaimo, BC V9R 5H7
",250-760-7368,,"Monday

8:00 am - 5:30 pm



Tuesday

8:00 am - 5:30 pm



Wednesday

8:00 am - 5:30 pm



Thursday

8:00 am - 5:30 pm



Friday

8:00 am - 5:30 pm



Saturday

8:00 am - 5:30 pm



Sunday

9:00 am - 5:00 pm",,"Save on your next car rental with Budget Car Rental in Nanaimo. Whether you're renting a car in Nanaimo or any one of our 1,500 locations, you will find discount rental car rates on a variety of vehicles."
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/Budget-Car-Rental/2142855.html?what=a&where=Nanaimo+BC,Budget Car Rental,,service_companies,"33 Terminal Avenue, Nanaimo, BC V9R 5C4
",250-760-7368,,"Monday

8:00 am - 5:30 pm



Tuesday

8:00 am - 5:30 pm



Wednesday

8:00 am - 5:30 pm



Thursday

8:00 am - 5:30 pm



Friday

8:00 am - 5:30 pm



Saturday

8:00 am - 5:30 pm



Sunday

9:00 am - 5:00 pm",,"Save on your next car rental with Budget Car Rental in Nanaimo. Whether you're renting a car in Nanaimo or any one of our 1,500 locations, you will find discount rental car rates on a variety of vehicles."
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/Sun-Life-Financial/5214319.html?what=a&where=Nanaimo+BC,Sun Life Financial,,service_companies,"241-4750 Rutherford Rd, Nanaimo, BC V9T 4K6
","250-729-7544
250-729-7506",,"Monday

8:30 am - 4:30 pm



Tuesday

8:30 am - 4:30 pm



Wednesday

8:30 am - 4:30 pm



Thursday

8:30 am - 4:30 pm



Friday

8:30 am - 4:30 pm","Insurance,
Investments,
Financial Service,
Insurance Company,",
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/Hertz-Rent-A-Car/769385.html?what=a&where=Nanaimo+BC,Hertz Rent A Car,,tourism,"3350 Spitfire Rd, Nanaimo, BC V0R 1H0
","250-245-8818
250-245-8849","http://www.hertz.ca,https://hertz.com",,,
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/S-P-C-A/101598403.html?what=a&where=Nanaimo+BC,S P C A,,charities,"154 Westwood Rd, Nanaimo, BC V9R 0G9
",250-741-0778,,,"Businesses,",
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/A-W/6748489.html?what=a&where=Nanaimo+BC,A&W,,restaurant,"701-5800 Turner Rd, Nanaimo, BC V9T 6J4
",250-756-4076,,"Monday

11:00 am - 11:00 pm



Tuesday

11:00 am - 11:00 pm



Wednesday

11:00 am - 11:00 pm



Thursday

11:00 am - 11:00 pm



Friday

11:00 am - 11:00 pm



Saturday

11:00 am - 11:00 pm



Sunday

11:00 am - 11:00 pm",,"Come enjoy a delectable dish at A & W Restaurant. Discover a menu offering hamburgers and a fast food menu, priced at less than $10. They are positioned in a location characterized with parks and stores."
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/A-W/7315019.html?what=a&where=Nanaimo+BC,A&W,,restaurant,"1-1275 Island Hwy S, Nanaimo, BC V9R 7A4
",250-716-0035,,"Monday

11:00 am - 11:00 pm



Tuesday

11:00 am - 11:00 pm



Wednesday

11:00 am - 11:00 pm



Thursday

11:00 am - 11:00 pm



Friday

11:00 am - 11:00 pm



Saturday

11:00 am - 11:00 pm



Sunday

11:00 am - 11:00 pm",,
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/A-W/6748490.html?what=a&where=Nanaimo+BC,A&W,,restaurant,"2-60 Victoria Cres, Nanaimo, BC V9R 5B8
",250-753-9960,,"Monday

11:00 am - 11:00 pm



Tuesday

11:00 am - 11:00 pm



Wednesday

11:00 am - 11:00 pm



Thursday

11:00 am - 11:00 pm



Friday

11:00 am - 11:00 pm



Saturday

11:00 am - 11:00 pm



Sunday

11:00 am - 11:00 pm",,Come taste a delectable meal at A&W Restaurant. They are reachable by bicycle. The surrounding area is remarkable for its parks and stores.
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/A-A-Trading-Haida-Gwaii-Ltd/2571499.html?what=a&where=Nanaimo+BC,A & A Trading (Haida Gwaii) Ltd,,retail_business,"750 Jackson Rd Trlr, Nanaimo, BC V9X 1J2
",250-722-0276,,,,
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/A-B-C-Precast-Ready-Mix/7089771.html?what=a&where=Nanaimo+BC,A B C Precast Ready Mix,,service_companies,"1941 Trans Canada Hwy, Nanaimo, BC V9X 1R4
",250-753-4555,,,"Treatment,
Ready Mix,
Concrete Holding Tank,
Concrete Pumping,
Construction,
Wall,


Readymix Concrete,
Septic Tanks,
Custom,



","Founded as ABC Pre-Kast Ltd in the mid-1960s, our company has developed a solid reputation for providing customers across BC with precast concrete products of the highest quality. Today, as ABC Precast and Ready Mix Ltd, we're building on that reputation by also providing ready mix concrete and pumping services for residential, industrial and commercial customers, In May 2006, ABC underwent significant upgrades to become one of the most technologically advanced in BC. Built to CSA standards, a second production area was upgraded and added an additional 11,250 sq ft to our site infrastructure. This larger building includes a two million BTU computer-controlled steam-curing system and a state-of-the art ready mix batch plant incorporating advanced processing technology.

"
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/A-M-P-M-Service-Ltd/102228891.html?what=a&where=Nanaimo+BC,A.M.P.M. Service Ltd,,service_companies,"2196 Lark Cres, Nanaimo, BC V9S 5J8
",250-756-7734,,,,
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/Every-Dog-Is-A-Good-Dog/102227134.html?what=a&where=Nanaimo+BC,Every Dog Is A Good Dog,,service_companies,"3424 Hammond Bay Rd, Nanaimo, BC V9T 1E6
",250-585-8322,,,,
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/A-G-S-Business-Systems-Inc/3544056.html?what=a&where=Nanaimo+BC,A G S Business Systems Inc,,retail_business,"1-1850 Northfield Rd, Nanaimo, BC V9S 3B3
",250-716-9117,www.agscanada.com,,,
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/A-K-Timber-Company-Ltd/102230469.html?what=a&where=Nanaimo+BC,A & K Timber Company Ltd,,service_companies,"2002 Walsh Rd, Nanaimo, BC V9X 1M1
",250-714-4127,,,,
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/A-T-C-Transport-Ltd/100499025.html?what=a&where=Nanaimo+BC,A T C Transport Ltd,,service_companies,"2294 Westerhall Pl, Nanaimo, BC V9X 1W9
",250-722-3096,,,,
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/A-W-Taylor-Trucking-Inc/100499000.html?what=a&where=Nanaimo+BC,A W Taylor Trucking Inc,,service_companies,"1126 Brightman Rd, Nanaimo, BC V9X 1N4
",250-722-3489,,,,
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/Millan-Leigh-A-Land-Surveyors/102227064.html?what=a&where=Nanaimo+BC,Millan Leigh A Land Surveyors,,service_companies,"20 Front St, Nanaimo, BC V9R 5H8
",250-754-5511,,,,
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/A-Coat-Of-Many-Colours/8059945.html?what=a&where=Nanaimo+BC,A Coat Of Many Colours,,service_companies,"1411 Loat St, Nanaimo, BC V9S 3L2
",250-729-9113,,,"House Painting,",
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/A-Warming-Touch-Healing-Services/2068171.html?what=a&where=Nanaimo+BC,A Warming Touch Healing Services,,service_companies,"4-321 Wesley St, Nanaimo, BC V9R 2T5
",250-741-7535,,,"Reflexology,
Physical Therapist,
Alternative & Holistic Health Service,
Massage Service,",
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/A-J-Pellet-Stove-Service/2066897.html?what=a&where=Nanaimo+BC,A J Pellet Stove Service,,retail_business,"254 Howard Ave, Nanaimo, BC V9R 3R5
",250-753-6586,,,"Stoves-wood,
Miscellaneous Home Furnishings,
Stoves,
Stof,
Gas Appliances,
Home & Gardening,


Sales,
Oil,
Range Sales Range,
Granules,
Shops At Wood Stoves,
Home Improvement,



",
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/E-T-A-Bus-Tours/2852692.html?what=a&where=Nanaimo+BC,E T A Bus Tours,,tourism,"529 Wentworth St, Nanaimo, BC V9R 3E3
",250-753-3752,,,"Buses,
Charter Bus Service,
Tour Agency,",
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/Miles-a-Head-Hair-Studio/101111828.html?what=a&where=Nanaimo+BC,Miles a Head Hair Studio,,service_companies,"165 Cilaire Dr, Nanaimo, BC V9S 3E2
",250-758-0058,,"Monday

10:00 am - 6:00 pm



Tuesday

10:00 am - 6:00 pm



Wednesday

10:00 am - 6:00 pm



Thursday

10:00 am - 6:00 pm



Friday

10:00 am - 6:00 pm



Saturday

10:00 am - 6:00 pm



Emergency Appointments Available","Permanent Wave,
Hairstylist,
Hair Straightening,
Girl Haircut,
Colourist,
Hair Salon,","Specializing in hair cutting, hair styling, coloring, and perms! Appointments available."
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/Janie-s-got-a-Bus/101523797.html?what=a&where=Nanaimo+BC,Janie's got a Bus,,service_companies,"1667 Chick-A-Dee Cres, Nanaimo, BC V9S 2P6
",250-714-2855,,"Monday

8:00 am - 10:00 pm



Tuesday

8:00 am - 10:00 pm



Wednesday

8:00 am - 10:00 pm



Thursday

8:00 am - 10:00 pm



Friday

8:00 am - 10:00 pm



Saturday

8:00 am - 10:00 pm



Sunday

8:00 am - 10:00 pm","Senior Bus,
Tour Bus,
BOWEN PARK TRIPS,
NANAIMO ACTIVITY GUIDE TRIPS,
FAVORITE RESTAURANTS TRIPS,
SERGE AND SEW TRIPS,


LADYSMITHS TRIPS,
Team Transport,
Travel Agency,
Seniors' Bus,
Wedding Bus,
Event Bus,



","My business offers a unique, valuable and much needed service to Nanaimo. The size of the bus (easier to get in and out of than a van, more friendly than a large highway bus) is comfortable for the seniors. We will get to beauty spots and historic and cultural sites, visit art and craft studios while supporting artists and merchants, restaurants, growers and coastal sightseeing operators. Trips are not merely a bus ride from A to B but include side trips to hidden gems around local communities, which vary with the weather and the whim of the group. All this while sharing experiences and conversations with new friends, keeping the participants interested and active, thus contributing to quality of life and good health, avoiding the incidence of isolation, anxiety and illness/depression which are a risk for retirees.

DO YOU HAVE FAMILY COMING AND YOU HAVE TO WORK. WHY NOT SEND THEM OUT FOR SOME FUN ON MY BUS. SIGN THEM UP ON A DAY TRIP.
MEMBERSHIP NOT NEEDED.

"
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/A-E-Homes-Ltd/102229423.html?what=a&where=Nanaimo+BC,A & E Homes Ltd,,service_companies,"3148 Barons Rd, Nanaimo, BC V9T 4B5
",250-741-0343,,,,
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/A-Plus-Helping-Hands/100879415.html?what=a&where=Nanaimo+BC,A Plus Helping Hands,,service_companies,"6160 Kenning Pl, Nanaimo, BC V9T 6R5
",250-619-1668,,,,
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/White-Brian-A-Dr/1713420.html?what=a&where=Nanaimo+BC,White Brian A Dr Family Practice Clinic,,professional,"195-4750 Rutherford Rd, Nanaimo, BC V9T 4K6
",250-758-1711,,,,
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/Tutoring-With-A-Twist/102227871.html?what=a&where=Nanaimo+BC,Tutoring With A Twist,,service_companies,"541 Doreen Pl, Nanaimo, BC V9T 4S1
",250-821-8214,,,,
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/C-M-A-Studio/102227224.html?what=a&where=Nanaimo+BC,C.M.A Studio,,service_companies,"341 Cordan St, Nanaimo, BC V9R 0E3
",250-713-7330,,,,
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/Thomson-C-A-Dr/7952905.html?what=a&where=Nanaimo+BC,Thomson C A Dr Woodgrove Dental Clinic,,service_companies,"103-5070 Uplands Dr, Nanaimo, BC V9T 6N1
","250-729-9787
250-729-9709",,,"Dentists,
Dentist & Dental Office,",
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/Dr-Todd-A-Wilke/1718401.html?what=a&where=Nanaimo+BC,Dr. Todd A. Wilke Rutherford Dental Centre,,professional,"4555 Uplands Dr, Nanaimo, BC V9T 6M8
",250-751-3663,,,"Dentists,
Dentist & Dental Office,",
