Sku,Description,Department,Brand,Product Number,UPC,QOH,Price,Dim.1 Group,Dim.2 Group
2221,Prairie Naturals Cal-Mag-Force 2:1 90Tab,Vitamins & Health Supplem,Prairie Naturals,132,67953001324,1,$18.99,,
2965,Phillip Adam Shampoo 355ml Orange Vanilla,Beauty & Personal Care,Phillip Adam,15340,8.50402E+11,1,$16.99,,
2964,Phillip Adam Shampoo 355ml Apple Cider Vinegar,Beauty & Personal Care,Phillip Adam,A15301,8.50402E+11,1,$16.99,,
4054,Phillip Adam Sculpting Clay 75g,Beauty & Personal Care,Phillip Adam,604200,8.50402E+11,1,$21.99,,
3966,Phillip Adam Lotion 400ml Orange Vanilla,Beauty & Personal Care,Phillip Adam,15317,8.50402E+11,1,$16.99,,
2966,Phillip Adam Conditioner 355ml Orange Vanilla,Beauty & Personal Care,Phillip Adam,A15345,8.50402E+11,1,$16.99,,
2967,Phillip Adam Conditioner 355ml Apple Cider Vinegar,Beauty & Personal Care,Phillip Adam,15306,8.50402E+11,1,$16.99,,
6201,PEScience Select Protein 27serve Cake Pop,Sports & Fitness->Protein,PEScience,PES020,40232288999,1,$59.99,,
7340,Performa Shaker Norse Mythology Series 800ml Valkyrie,Equipment & Accessories,Performa,PSHA233A,6.72683E+11,1,$14.99,,
4596,Performa Shaker Norse Mythology Series 800ml Thor,Equipment & Accessories,Performa,PSHA230A,6.72683E+11,1,$14.99,,
6803,Performa Shaker Mortal Combat Series 800ml Sub-Zero,Equipment & Accessories,Performa,PSHA271,6.72683E+11,1,$14.99,,
4845,Performa Shaker Game of Thrones Series 800ml Targaryen,Equipment & Accessories,Performa,PSHA241A,6.27268E+12,1,$14.99,,
2866,Performa Shaker Activ Series 800ml Supergirl Purple,Equipment & Accessories,Performa,PSHA0102A,672683003090;181493000507,1,$14.99,,
2208,Performa Shaker Activ Series 800ml Batman Edition,Equipment & Accessories,Performa,PSHA002A,672683003083;181493000910,1,$14.99,,
2269,Perfect Sports Hulk HD 10lb Chocolate,Sports & Fitness->Protein,Perfect Sports,72008,699097755179;699097720085,1,$99.99,,
6583,Perfect Sports Diesel 5lb Strawberry,Sports & Fitness->Protein,Perfect Sports,,6.99098E+11,1,$119.99,,
2809,Perfect Sports Diesel 5lb Chocolate Peanut Butter,Sports & Fitness->Protein,Perfect Sports,71013,6.99098E+11,1,$119.99,,
2806,Perfect Sports Diesel 2lb Salted Caramel,Sports & Fitness->Protein,Perfect Sports,71053,6.99098E+11,1,$64.99,,
2281,PB2 Powdered Peanut Butter 1lb Original,Food & Groceries,PB2,PB2-LG,8.50791E+11,1,$16.99,,
6618,P3 Pro Suspension Trainer,Equipment & Accessories,P3,,,1,$99.99,,
7757,Organic Traditions Wheat Grass Juice Powder 150g,Vitamins & Health Supplem,Organic Traditions,690005,6.27733E+11,1,$25.99,,
2276,Organic Traditions Turmeric 200g,Vitamins & Health Supplem,Organic Traditions,,6.27733E+11,1,$8.99,,
7026,Organic Traditions Triphala Powder 200g,Food & Groceries->Health Foods,Organic Traditions,690036,6.27733E+11,1,$10.99,,
3968,Organic Traditions Super 5 Grass Juice Blend 150g,Vitamins & Health Supplem,Organic Traditions,,6.27733E+11,1,$26.99,,
1064,Organic Traditions Sprouted Chia Powder 227g,Food & Groceries,Organic Traditions,690045,627733006217;627733006163,1,$10.99,,
2937,Organic Traditions Sprouted Chia & Flax Powder 227g,Food & Groceries,Organic Traditions,,8.5426E+11,1,$10.99,,
3048,Organic Traditions Spirulina Powder 150g,Vitamins & Health Supplem,Organic Traditions,,854260012309;627733012300,1,$24.99,,
7751,Organic Traditions Shredded Coconut 227g,Vitamins & Health Supplem,Organic Traditions,690090,6.27733E+11,1,$6.49,,
3840,Organic Traditions Raw Coconut Oil 500ml,Food & Groceries,Organic Traditions,690094,854260005004;627733005005,1,$17.99,,
1032,Organic Traditions Premium Matcha Tea 100g,Vitamins & Health Supplem,Organic Traditions,AHM494,6.27733E+11,1,$29.99,,
1183,Organic Traditions Fiber Fuel Smoothie Boost 300g Original,Vitamins & Health Supplem,Organic Traditions,690601,6.27733E+11,1,$21.99,,
1161,Organic Traditions Fiber Fuel Smoothie Boost 300g Mixed Berry,Vitamins & Health Supplem,Organic Traditions,,6.27733E+11,1,$21.99,,
2592,Organic Traditions Dark Chocolate Hazelnuts 100g,Food & Groceries,Organic Traditions,AHM1400,6.27733E+11,1,$9.99,,
1016,Organic Traditions Cacao Nibs 227g,Food & Groceries,Organic Traditions,690232,6.27733E+11,1,$10.99,,
7749,Organic Traditions Blueberry Powder 100g,Vitamins & Health Supplem,Organic Traditions,690265,6.27733E+11,1,$23.99,,
7748,Organic Traditions Black Sesame Seeds 227g,Vitamins & Health Supplem,Organic Traditions,690267,6.27733E+11,1,$7.99,,
7758,Organic Traditions Barley Grass Juice Powder 150g,Vitamins & Health Supplem,Organic Traditions,690008,6.27733E+11,1,$25.99,,
3602,Organic Traditions Antioxidant Berry Blast 100g,Vitamins & Health Supplem,Organic Traditions,690025,854260009606;627733009607,1,$27.99,,
2586,Organic Traditions Acai Berry Powder 100g,Vitamins & Health Supplem,Organic Traditions,AHM990,6.27733E+11,1,$24.99,,
7904,Organic Tradition Beet Latte 150g,Food & Groceries,Organic Traditions,690381,6.27733E+11,1,$19.99,,
6034,Optimize Nutrition Ladies Bamboo Crop Top,Clothing->Womens,Optimize Nutrition,,,1,$29.99,Clothing Size,Clothing Colour
5713,One Brands One Bar 12Pack Peanut Butter Cup,Protein Bars and Cookies,One Brands,,7.88434E+11,1,$44.99,,
2825,One Brands One Bar 12Pack Birthday Cake,Protein Bars and Cookies,One Brands,,7.88434E+11,1,$44.99,,
7579,Oh My Spice Seasonings 141g Sriracha Lime,Food & Groceries->Flavorings,Oh My Spice,OMS106,8.57697E+11,1,$12.99,,
7575,Oh My Spice Seasonings 141g Spicy Fajita,Food & Groceries->Flavorings,Oh My Spice,OMS107,8.57697E+11,1,$12.99,,
7574,Oh My Spice Seasonings 141g Pizza,Food & Groceries->Flavorings,Oh My Spice,OMS113,8.5457E+11,1,$12.99,,
7577,Oh My Spice Seasonings 141g Maui Onion,Food & Groceries->Flavorings,Oh My Spice,OMS104,8.57697E+11,1,$12.99,,
7578,Oh My Spice Seasonings 134.4g Nacho Cheese,Food & Groceries->Flavorings,Oh My Spice,OMS109,8.50015E+11,1,$12.99,,
7937,NutraPhase Clean Beans Box 6Pack Dill Pickle,Food & Groceries->Healthy Snacks,NutraPhase,NP-CL-BEAN-DP,,1,$19.99,,
6871,NutraPhase Clean Beans 85g Creamy Ranch,Food & Groceries->Healthy Snacks,NutraPhase,,6.28618E+11,1,$3.49,,
7881,Nutra Meltz Nicotine Max 4mg 60Tab,Vitamins & Health Supplem,Nutra Meltz,796305,6.84482E+11,1,$19.99,,
3063,Nu-Life Energy 60Cap,Vitamins & Health Supplem,Nu-Life,NL04020,62527040204,1,$23.99,,
3222,Now XyliWhite Toothpaste 181g Platinum Mint,Beauty & Personal Care,Now,NOW08091,7.33739E+11,1,$9.99,,
7924,Now Xylitol 454g 100% Pure,Food & Groceries->Flavorings,Now,NOW86983,7.3374E+11,1,$13.99,,
3226,Now White Willow Bark 400mg 100Cap,Vitamins & Health Supplem,Now,NOW84775,7.3374E+11,1,$19.99,,
8029,Now Ultrasonic Diffuser - USB White Ceramic Stone,Equipment & Accessories,Now,NOW87488,7.3374E+11,1,$64.99,,
8028,Now Ultrasonic Diffuser - USB Unicorn,Equipment & Accessories,Now,NOW87491,7.3374E+11,1,$64.99,,
8027,Now Ultrasonic Diffuser - Hand Blown Glass,Equipment & Accessories,Now,NOW87489,7.3374E+11,1,$79.99,,
3241,Now Taurine 500mg 100Cap,Vitamins & Health Supplem,Now,NOW80140,7.3374E+11,1,$14.99,,
4317,Now Sunflower Lecithin Powder 454g Non-GMO,Food & Groceries,Now,NOW82314,7.3374E+11,1,$31.99,,
3307,Now Sproutable Broccoli Seeds 113g,Food & Groceries,Now,NOW07215,7.33739E+11,1,$10.99,,
3326,Now Phosphatidyl Serine 100mg 60Cap,Vitamins & Health Supplem,Now,NOW82380,7.3374E+11,1,$44.99,,
3329,Now Pantothenic Acid 500mg 100Cap(exp:10/23),Vitamins & Health Supplem,Now,,7.3374E+11,1,$21.99,,
7949,Now Organic Monk fruit Liquid Sweetener 53ml Vanilla,Food & Groceries->Flavorings,Now,NOW87111,7.3374E+11,1,$14.99,,
7951,Now Organic Monk Fruit Liquid Sweetener 53ml Unflavored,Food & Groceries->Flavorings,Now,NOW86916,7.3374E+11,1,$14.99,,
7950,Now Organic Monk Fruit Liquid Sweetener 53ml Caramel,Food & Groceries->Flavorings,Now,NOW87112,7.3374E+11,1,$14.99,,
7923,Now Organic Erythritol 454g,Food & Groceries->Flavorings,Now,NOW86927,7.3374E+11,1,$16.99,,
2569,Now L-Phenylalanine 500mg 120Cap,Vitamins & Health Supplem,Now,NOW80132,733739801326;733739001320,1,$19.99,,
2167,Now Essential Oils Rosemary 100% Pure 30ml,Beauty & Personal Care,Now,NOW87600,7.3374E+11,1,$12.99,,
